epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2727,1.47453,2.64779,1.61024,0.55126,0.4945,0.47809,0.29297,1.5042,2.05798,1.69518,0.000301529,0.000301529,0.000301529
2,164.824,1.45426,1.96377,1.59815,0.54217,0.38282,0.39329,0.22384,1.6596,2.24505,1.87757,0.000592559,0.000592559,0.000592559
3,241.45,1.46491,1.84989,1.60051,0.57342,0.44457,0.48841,0.29461,1.6326,1.90034,1.76567,0.000871591,0.000871591,0.000871591
4,318.458,1.41912,1.73842,1.5651,0.71502,0.49277,0.57988,0.36397,1.43237,1.74925,1.64891,0.000855005,0.000855005,0.000855005
5,395.437,1.37698,1.61639,1.52931,0.71321,0.56266,0.67713,0.44186,1.31492,1.45233,1.54355,0.000837007,0.000837007,0.000837007
6,472.372,1.30042,1.46121,1.47688,0.71825,0.53092,0.64602,0.41582,1.4021,1.51335,1.59206,0.000819009,0.000819009,0.000819009
7,549.276,1.26905,1.40221,1.45636,0.75697,0.67626,0.75951,0.52163,1.21807,1.2427,1.45776,0.000801011,0.000801011,0.000801011
8,627.152,1.20469,1.28639,1.40377,0.80034,0.6864,0.76883,0.51979,1.23291,1.13992,1.44039,0.000783013,0.000783013,0.000783013
9,705.256,1.17806,1.22644,1.38052,0.85148,0.7294,0.80817,0.56579,1.15852,1.01412,1.40201,0.000765014,0.000765014,0.000765014
10,782.813,1.1512,1.17431,1.36105,0.84268,0.75412,0.84295,0.60607,1.1092,0.90242,1.34779,0.000747016,0.000747016,0.000747016
11,860.74,1.11629,1.11346,1.33669,0.89054,0.72803,0.83299,0.60926,1.08217,0.92869,1.33211,0.000729018,0.000729018,0.000729018
12,938.481,1.10543,1.1035,1.33071,0.87173,0.76645,0.86398,0.63176,1.05807,0.84049,1.29268,0.00071102,0.00071102,0.00071102
13,1015.73,1.07145,1.05229,1.31028,0.91727,0.77991,0.87221,0.64278,1.03056,0.8165,1.29863,0.000693022,0.000693022,0.000693022
